timestamp,sector_id,resource_type,stock_level,usage_rate_hourly,snap_event_detected
2025-12-01T18:00:00,Avengers Compound,Arc Reactor Cores,1727.465,0.5352,False
2025-12-01T19:00:00,Avengers Compound,Arc Reactor Cores,1726.969,0.4955,False
2025-12-01T20:00:00,Avengers Compound,Arc Reactor Cores,1726.519,0.45,False
2025-12-01T21:00:00,Avengers Compound,Arc Reactor Cores,1726.114,0.4052,False
2025-12-01T22:00:00,Avengers Compound,Arc Reactor Cores,1725.686,0.4285,False
2025-12-01T23:00:00,Avengers Compound,Arc Reactor Cores,1725.297,0.3881,False
2025-12-02T00:00:00,Avengers Compound,Arc Reactor Cores,1724.919,0.3781,False
2025-12-02T01:00:00,Avengers Compound,Arc Reactor Cores,1724.549,0.3707,False
2025-12-02T02:00:00,Avengers Compound,Arc Reactor Cores,1724.173,0.376,False
2025-12-02T03:00:00,Avengers Compound,Arc Reactor Cores,1723.788,0.3844,False
2025-12-02T04:00:00,Avengers Compound,Arc Reactor Cores,1723.383,0.4055,False
2025-12-02T05:00:00,Avengers Compound,Arc Reactor Cores,1722.943,0.4394,False
2025-12-02T06:00:00,Avengers Compound,Arc Reactor Cores,1722.533,0.4108,False
2025-12-02T07:00:00,Avengers Compound,Arc Reactor Cores,1722.071,0.4619,False
2025-12-02T08:00:00,Avengers Compound,Arc Reactor Cores,1721.584,0.4871,False
2025-12-02T09:00:00,Avengers Compound,Arc Reactor Cores,1721.076,0.5079,False
2025-12-02T10:00:00,Avengers Compound,Arc Reactor Cores,1720.549,0.5268,False
2025-12-02T11:00:00,Avengers Compound,Arc Reactor Cores,1719.948,0.6011,False
2025-12-02T12:00:00,Avengers Compound,Arc Reactor Cores,1719.355,0.5925,False
2025-12-02T13:00:00,Avengers Compound,Arc Reactor Cores,1718.754,0.6013,False
2025-12-02T14:00:00,Avengers Compound,Arc Reactor Cores,1718.212,0.5418,False
2025-12-02T15:00:00,Avengers Compound,Arc Reactor Cores,1717.635,0.5777,False
2025-12-02T16:00:00,Avengers Compound,Arc Reactor Cores,1717.093,0.5417,False
2025-12-02T17:00:00,Avengers Compound,Arc Reactor Cores,1716.599,0.4936,False
2025-12-02T18:00:00,Avengers Compound,Arc Reactor Cores,1716.104,0.4953,False
2025-12-02T19:00:00,Avengers Compound,Arc Reactor Cores,1715.607,0.497,False
2025-12-02T20:00:00,Avengers Compound,Arc Reactor Cores,1715.151,0.4564,False
2025-12-02T21:00:00,Avengers Compound,Arc Reactor Cores,1714.715,0.4356,False
2025-12-02T22:00:00,Avengers Compound,Arc Reactor Cores,1714.307,0.4082,False
2025-12-02T23:00:00,Avengers Compound,Arc Reactor Cores,1713.924,0.383,False
2025-12-03T00:00:00,Avengers Compound,Arc Reactor Cores,1713.531,0.3926,False
2025-12-03T01:00:00,Avengers Compound,Arc Reactor Cores,1713.147,0.3839,False
2025-12-03T02:00:00,Avengers Compound,Arc Reactor Cores,1712.763,0.3839,False
2025-12-03T03:00:00,Avengers Compound,Arc Reactor Cores,1712.366,0.3976,False
2025-12-03T04:00:00,Avengers Compound,Arc Reactor Cores,1711.933,0.4325,False
2025-12-03T05:00:00,Avengers Compound,Arc Reactor Cores,1711.514,0.4196,False
2025-12-03T06:00:00,Avengers Compound,Arc Reactor Cores,1711.089,0.4249,False
2025-12-03T07:00:00,Avengers Compound,Arc Reactor Cores,1710.579,0.5102,False
2025-12-03T08:00:00,Avengers Compound,Arc Reactor Cores,1710.023,0.5552,False
2025-12-03T09:00:00,Avengers Compound,Arc Reactor Cores,1709.474,0.5494,False
2025-12-03T10:00:00,Avengers Compound,Arc Reactor Cores,1708.893,0.5814,False
2025-12-03T11:00:00,Avengers Compound,Arc Reactor Cores,1708.303,0.5901,False
2025-12-03T12:00:00,Avengers Compound,Arc Reactor Cores,1707.698,0.6047,False
2025-12-03T13:00:00,Avengers Compound,Arc Reactor Cores,1707.112,0.5855,False
2025-12-03T14:00:00,Avengers Compound,Arc Reactor Cores,1706.512,0.6007,False
2025-12-03T15:00:00,Avengers Compound,Arc Reactor Cores,1705.916,0.5959,False
2025-12-03T16:00:00,Avengers Compound,Arc Reactor Cores,1705.374,0.5413,False
2025-12-03T17:00:00,Avengers Compound,Arc Reactor Cores,1704.847,0.5276,False
2025-12-03T18:00:00,Avengers Compound,Arc Reactor Cores,1704.318,0.5286,False
2025-12-03T19:00:00,Avengers Compound,Arc Reactor Cores,1703.853,0.4647,False
2025-12-03T20:00:00,Avengers Compound,Arc Reactor Cores,1703.401,0.4522,False
2025-12-03T21:00:00,Avengers Compound,Arc Reactor Cores,1702.974,0.4275,False
2025-12-03T22:00:00,Avengers Compound,Arc Reactor Cores,1702.537,0.4371,False
2025-12-03T23:00:00,Avengers Compound,Arc Reactor Cores,1702.177,0.3596,False
2025-12-04T00:00:00,Avengers Compound,Arc Reactor Cores,1701.805,0.3718,False
2025-12-04T01:00:00,Avengers Compound,Arc Reactor Cores,1701.445,0.36,False
2025-12-04T02:00:00,Avengers Compound,Arc Reactor Cores,1701.052,0.3933,False
2025-12-04T03:00:00,Avengers Compound,Arc Reactor Cores,1700.648,0.4041,False
2025-12-04T04:00:00,Avengers Compound,Arc Reactor Cores,1700.235,0.4135,False
2025-12-04T05:00:00,Avengers Compound,Arc Reactor Cores,1699.795,0.4393,False
2025-12-04T06:00:00,Avengers Compound,Arc Reactor Cores,1699.351,0.4445,False
2025-12-04T07:00:00,Avengers Compound,Arc Reactor Cores,1698.879,0.4713,False
2025-12-04T08:00:00,Avengers Compound,Arc Reactor Cores,1698.312,0.5673,False
2025-12-04T09:00:00,Avengers Compound,Arc Reactor Cores,1697.785,0.5276,False
2025-12-04T10:00:00,Avengers Compound,Arc Reactor Cores,1697.233,0.5515,False
2025-12-04T11:00:00,Avengers Compound,Arc Reactor Cores,1696.648,0.5855,False
2025-12-04T12:00:00,Avengers Compound,Arc Reactor Cores,1696.007,0.6403,False
2025-12-04T13:00:00,Avengers Compound,Arc Reactor Cores,1695.432,0.5757,False
2025-12-04T14:00:00,Avengers Compound,Arc Reactor Cores,1694.838,0.594,False
2025-12-04T15:00:00,Avengers Compound,Arc Reactor Cores,1694.281,0.557,False
2025-12-04T16:00:00,Avengers Compound,Arc Reactor Cores,1693.691,0.5892,False
2025-12-04T17:00:00,Avengers Compound,Arc Reactor Cores,1693.16,0.5312,False
2025-12-04T18:00:00,Avengers Compound,Arc Reactor Cores,1692.619,0.5409,False
2025-12-04T19:00:00,Avengers Compound,Arc Reactor Cores,1692.115,0.504,False
2025-12-04T20:00:00,Avengers Compound,Arc Reactor Cores,1691.648,0.4672,False
2025-12-04T21:00:00,Avengers Compound,Arc Reactor Cores,1691.214,0.4337,False
2025-12-04T22:00:00,Avengers Compound,Arc Reactor Cores,1690.798,0.4161,False
2025-12-04T23:00:00,Avengers Compound,Arc Reactor Cores,1690.403,0.3957,False
2025-12-05T00:00:00,Avengers Compound,Arc Reactor Cores,1690.049,0.354,False
2025-12-05T01:00:00,Avengers Compound,Arc Reactor Cores,1689.667,0.3811,False
2025-12-05T02:00:00,Avengers Compound,Arc Reactor Cores,1689.297,0.3708,False
2025-12-05T03:00:00,Avengers Compound,Arc Reactor Cores,1688.917,0.3802,False
2025-12-05T04:00:00,Avengers Compound,Arc Reactor Cores,1688.528,0.3887,False
2025-12-05T05:00:00,Avengers Compound,Arc Reactor Cores,1688.062,0.4659,False
2025-12-05T06:00:00,Avengers Compound,Arc Reactor Cores,1687.631,0.4307,False
2025-12-05T07:00:00,Avengers Compound,Arc Reactor Cores,1687.117,0.5138,False
2025-12-05T08:00:00,Avengers Compound,Arc Reactor Cores,1686.612,0.5052,False
2025-12-05T09:00:00,Avengers Compound,Arc Reactor Cores,1686.052,0.5603,False
2025-12-05T10:00:00,Avengers Compound,Arc Reactor Cores,1685.455,0.5972,False
2025-12-05T11:00:00,Avengers Compound,Arc Reactor Cores,1684.862,0.5933,False
2025-12-05T12:00:00,Avengers Compound,Arc Reactor Cores,1684.3,0.5612,False
2025-12-05T13:00:00,Avengers Compound,Arc Reactor Cores,1683.707,0.5936,False
2025-12-05T14:00:00,Avengers Compound,Arc Reactor Cores,1683.086,0.6206,False
2025-12-05T15:00:00,Avengers Compound,Arc Reactor Cores,1682.467,0.6188,False
2025-12-05T16:00:00,Avengers Compound,Arc Reactor Cores,1681.889,0.5781,False
2025-12-05T17:00:00,Avengers Compound,Arc Reactor Cores,1681.315,0.5745,False
2025-12-05T18:00:00,Avengers Compound,Arc Reactor Cores,1680.792,0.5225,False
2025-12-05T19:00:00,Avengers Compound,Arc Reactor Cores,1680.295,0.4973,False
2025-12-05T20:00:00,Avengers Compound,Arc Reactor Cores,1679.852,0.4435,False
2025-12-05T21:00:00,Avengers Compound,Arc Reactor Cores,1679.409,0.4424,False
2025-12-05T22:00:00,Avengers Compound,Arc Reactor Cores,1678.998,0.4114,False
2025-12-05T23:00:00,Avengers Compound,Arc Reactor Cores,1678.615,0.3824,False
2025-12-06T00:00:00,Avengers Compound,Arc Reactor Cores,1678.239,0.3762,False
2025-12-06T01:00:00,Avengers Compound,Arc Reactor Cores,1677.856,0.383,False
2025-12-06T02:00:00,Avengers Compound,Arc Reactor Cores,1677.471,0.3848,False
2025-12-06T03:00:00,Avengers Compound,Arc Reactor Cores,1677.119,0.3526,False
2025-12-06T04:00:00,Avengers Compound,Arc Reactor Cores,1676.727,0.3915,False
2025-12-06T05:00:00,Avengers Compound,Arc Reactor Cores,1676.297,0.4298,False
2025-12-06T06:00:00,Avengers Compound,Arc Reactor Cores,1675.852,0.4451,False
2025-12-06T07:00:00,Avengers Compound,Arc Reactor Cores,1675.365,0.4872,False
2025-12-06T08:00:00,Avengers Compound,Arc Reactor Cores,1674.858,0.5068,False
2025-12-06T09:00:00,Avengers Compound,Arc Reactor Cores,1674.278,0.5804,False
2025-12-06T10:00:00,Avengers Compound,Arc Reactor Cores,1673.682,0.5959,False
2025-12-06T11:00:00,Avengers Compound,Arc Reactor Cores,1673.101,0.5811,False
2025-12-06T12:00:00,Avengers Compound,Arc Reactor Cores,1672.502,0.5995,False
2025-12-06T13:00:00,Avengers Compound,Arc Reactor Cores,1671.895,0.6063,False
2025-12-06T14:00:00,Avengers Compound,Arc Reactor Cores,1671.32,0.5758,False
2025-12-06T15:00:00,Avengers Compound,Arc Reactor Cores,1670.726,0.5939,False
2025-12-06T16:00:00,Avengers Compound,Arc Reactor Cores,1670.178,0.5479,False
2025-12-06T17:00:00,Avengers Compound,Arc Reactor Cores,1669.578,0.6002,False
2025-12-06T18:00:00,Avengers Compound,Arc Reactor Cores,1669.06,0.5172,False
2025-12-06T19:00:00,Avengers Compound,Arc Reactor Cores,1668.558,0.5022,False
2025-12-06T20:00:00,Avengers Compound,Arc Reactor Cores,1668.106,0.452,False
2025-12-06T21:00:00,Avengers Compound,Arc Reactor Cores,1667.669,0.4367,False
2025-12-06T22:00:00,Avengers Compound,Arc Reactor Cores,1667.259,0.4105,False
2025-12-06T23:00:00,Avengers Compound,Arc Reactor Cores,1666.878,0.3814,False
2025-12-07T00:00:00,Avengers Compound,Arc Reactor Cores,1666.491,0.3863,False
2025-12-07T01:00:00,Avengers Compound,Arc Reactor Cores,1666.122,0.3692,False
2025-12-07T02:00:00,Avengers Compound,Arc Reactor Cores,1665.746,0.3758,False
2025-12-07T03:00:00,Avengers Compound,Arc Reactor Cores,1665.394,0.352,False
2025-12-07T04:00:00,Avengers Compound,Arc Reactor Cores,1664.977,0.4172,False
