timestamp,sector_id,resource_type,stock_level,usage_rate_hourly,event_detected
2025-12-01T00:00:00,New Asgard,Vibranium (kg),2497.66,3.5,False
2025-12-01T00:00:00,New Asgard,Arc Reactor Cores,795.8,4.2,False
2025-12-01T00:00:00,New Asgard,Pym Particles,796.12,3.85,False
2025-12-01T00:00:00,New Asgard,Clean Water (L),2495.19,4.2,False
2025-12-01T00:00:00,New Asgard,Medical Kits,798.74,3.15,False
2025-12-01T00:00:00,Wakanda,Vibranium (kg),2498.35,3.5,False
2025-12-01T00:00:00,Wakanda,Arc Reactor Cores,795.52,4.2,False
2025-12-01T00:00:00,Wakanda,Pym Particles,798.45,3.85,False
2025-12-01T00:00:00,Wakanda,Clean Water (L),2496.5,4.2,False
2025-12-01T00:00:00,Wakanda,Medical Kits,798.84,3.15,False
2025-12-01T00:00:00,Sokovia,Vibranium (kg),2497.77,3.5,False
2025-12-01T00:00:00,Sokovia,Arc Reactor Cores,797.1,4.2,False
2025-12-01T00:00:00,Sokovia,Pym Particles,796.36,3.85,False
2025-12-01T00:00:00,Sokovia,Clean Water (L),2496.61,4.2,False
2025-12-01T00:00:00,Sokovia,Medical Kits,797.51,3.15,False
2025-12-01T00:00:00,Sanctum Sanctorum,Vibranium (kg),2497.73,3.5,False
2025-12-01T00:00:00,Sanctum Sanctorum,Arc Reactor Cores,796.37,4.2,False
2025-12-01T00:00:00,Sanctum Sanctorum,Pym Particles,796.76,3.85,False
2025-12-01T00:00:00,Sanctum Sanctorum,Clean Water (L),2497.77,4.2,False
2025-12-01T00:00:00,Sanctum Sanctorum,Medical Kits,797.38,3.15,False
2025-12-01T00:00:00,Avengers Compound,Vibranium (kg),2497.2,3.5,False
2025-12-01T00:00:00,Avengers Compound,Arc Reactor Cores,796.01,4.2,False
2025-12-01T00:00:00,Avengers Compound,Pym Particles,797.85,3.85,False
2025-12-01T00:00:00,Avengers Compound,Clean Water (L),2496.69,4.2,False
2025-12-01T00:00:00,Avengers Compound,Medical Kits,797.26,3.15,False
2025-12-01T01:00:00,New Asgard,Vibranium (kg),2495.0,3.55,False
2025-12-01T01:00:00,New Asgard,Arc Reactor Cores,792.07,4.26,False
2025-12-01T01:00:00,New Asgard,Pym Particles,793.67,3.91,False
2025-12-01T01:00:00,New Asgard,Clean Water (L),2492.52,4.26,False
2025-12-01T01:00:00,New Asgard,Medical Kits,796.66,3.2,False
2025-12-01T01:00:00,Wakanda,Vibranium (kg),2495.58,3.55,False
2025-12-01T01:00:00,Wakanda,Arc Reactor Cores,791.56,4.26,False
2025-12-01T01:00:00,Wakanda,Pym Particles,795.38,3.91,False
2025-12-01T01:00:00,Wakanda,Clean Water (L),2493.23,4.26,False
2025-12-01T01:00:00,Wakanda,Medical Kits,797.85,3.2,False
2025-12-01T01:00:00,Sokovia,Vibranium (kg),2494.47,3.55,False
2025-12-01T01:00:00,Sokovia,Arc Reactor Cores,795.35,4.26,False
2025-12-01T01:00:00,Sokovia,Pym Particles,794.81,3.91,False
2025-12-01T01:00:00,Sokovia,Clean Water (L),2493.32,4.26,False
2025-12-01T01:00:00,Sokovia,Medical Kits,795.63,3.2,False
2025-12-01T01:00:00,Sanctum Sanctorum,Vibranium (kg),2494.82,3.55,False
2025-12-01T01:00:00,Sanctum Sanctorum,Arc Reactor Cores,792.41,4.26,False
2025-12-01T01:00:00,Sanctum Sanctorum,Pym Particles,792.82,3.91,False
2025-12-01T01:00:00,Sanctum Sanctorum,Clean Water (L),2493.74,4.26,False
2025-12-01T01:00:00,Sanctum Sanctorum,Medical Kits,796.46,3.2,False
2025-12-01T01:00:00,Avengers Compound,Vibranium (kg),2494.63,3.55,False
2025-12-01T01:00:00,Avengers Compound,Arc Reactor Cores,791.18,4.26,False
2025-12-01T01:00:00,Avengers Compound,Pym Particles,796.05,3.91,False
2025-12-01T01:00:00,Avengers Compound,Clean Water (L),2493.3,4.26,False
