timestamp,sector_id,resource_type,stock_level,usage_rate_hourly,event_detected
2023-05-01T00:00:00,New Asgard,Vibranium (kg),2497.18,3.5,False
2023-05-01T00:00:00,New Asgard,Arc Reactor Cores,797.78,4.2,False
2023-05-01T00:00:00,New Asgard,Pym Particles,798.15,3.85,False
2023-05-01T00:00:00,New Asgard,Clean Water (L),2496.97,4.2,False
2023-05-01T00:00:00,New Asgard,Medical Kits,796.81,3.15,False
2023-05-01T00:00:00,Wakanda,Vibranium (kg),2497.21,3.5,False
2023-05-01T00:00:00,Wakanda,Arc Reactor Cores,798.61,4.2,False
2023-05-01T00:00:00,Wakanda,Pym Particles,798.02,3.85,False
2023-05-01T00:00:00,Wakanda,Clean Water (L),2497.35,4.2,False
2023-05-01T00:00:00,Wakanda,Medical Kits,797.21,3.15,False
2023-05-01T00:00:00,Sokovia,Vibranium (kg),2498.36,3.5,False
2023-05-01T00:00:00,Sokovia,Arc Reactor Cores,795.81,4.2,False
2023-05-01T00:00:00,Sokovia,Pym Particles,798.21,3.85,False
2023-05-01T00:00:00,Sokovia,Clean Water (L),2497.76,4.2,False
2023-05-01T00:00:00,Sokovia,Medical Kits,796.67,3.15,False
2023-05-01T00:00:00,Sanctum Sanctorum,Vibranium (kg),2499.13,3.5,False
2023-05-01T00:00:00,Sanctum Sanctorum,Arc Reactor Cores,796.48,4.2,False
2023-05-01T00:00:00,Sanctum Sanctorum,Pym Particles,798.61,3.85,False
2023-05-01T00:00:00,Sanctum Sanctorum,Clean Water (L),2495.64,4.2,False
2023-05-01T00:00:00,Sanctum Sanctorum,Medical Kits,797.53,3.15,False
2023-05-01T00:00:00,Avengers Compound,Vibranium (kg),2498.1,3.5,False
2023-05-01T00:00:00,Avengers Compound,Arc Reactor Cores,798.36,4.2,False
2023-05-01T00:00:00,Avengers Compound,Pym Particles,797.19,3.85,False
2023-05-01T00:00:00,Avengers Compound,Clean Water (L),2497.06,4.2,False
2023-05-01T00:00:00,Avengers Compound,Medical Kits,799.14,3.15,False
2023-05-01T01:00:00,New Asgard,Vibranium (kg),2495.07,3.55,False
2023-05-01T01:00:00,New Asgard,Arc Reactor Cores,794.21,4.26,False
2023-05-01T01:00:00,New Asgard,Pym Particles,795.35,3.91,False
2023-05-01T01:00:00,New Asgard,Clean Water (L),2493.29,4.26,False
2023-05-01T01:00:00,New Asgard,Medical Kits,795.18,3.2,False
2023-05-01T01:00:00,Wakanda,Vibranium (kg),2495.13,3.55,False
2023-05-01T01:00:00,Wakanda,Arc Reactor Cores,796.48,4.26,False
2023-05-01T01:00:00,Wakanda,Pym Particles,795.46,3.91,False
2023-05-01T01:00:00,Wakanda,Clean Water (L),2495.34,4.26,False
2023-05-01T01:00:00,Wakanda,Medical Kits,794.56,3.2,False
2023-05-01T01:00:00,Sokovia,Vibranium (kg),2496.58,3.55,False
