timestamp,sector_id,resource_type,stock_level,usage_rate_hourly,event_detected
2015-06-01T00:00:00,New Asgard,Vibranium (kg),2497.41,3.5,False
2015-06-01T00:00:00,New Asgard,Arc Reactor Cores,796.95,4.2,False
2015-06-01T00:00:00,New Asgard,Pym Particles,797.01,3.85,False
2015-06-01T00:00:00,New Asgard,Clean Water (L),2497.1,4.2,False
2015-06-01T00:00:00,New Asgard,Medical Kits,796.54,3.15,False
2015-06-01T00:00:00,Wakanda,Vibranium (kg),2499.09,3.5,False
2015-06-01T00:00:00,Wakanda,Arc Reactor Cores,798.02,4.2,False
2015-06-01T00:00:00,Wakanda,Pym Particles,798.65,3.85,False
2015-06-01T00:00:00,Wakanda,Clean Water (L),2495.39,4.2,False
2015-06-01T00:00:00,Wakanda,Medical Kits,797.33,3.15,False
2015-06-01T00:00:00,Sokovia,Vibranium (kg),2497.31,3.5,False
2015-06-01T00:00:00,Sokovia,Arc Reactor Cores,796.87,4.2,False
2015-06-01T00:00:00,Sokovia,Pym Particles,798.22,3.85,False
2015-06-01T00:00:00,Sokovia,Clean Water (L),2498.4,4.2,False
2015-06-01T00:00:00,Sokovia,Medical Kits,797.35,3.15,False
2015-06-01T00:00:00,Sanctum Sanctorum,Vibranium (kg),2496.29,3.5,False
2015-06-01T00:00:00,Sanctum Sanctorum,Arc Reactor Cores,798.54,4.2,False
2015-06-01T00:00:00,Sanctum Sanctorum,Pym Particles,796.98,3.85,False
2015-06-01T00:00:00,Sanctum Sanctorum,Clean Water (L),2495.65,4.2,False
2015-06-01T00:00:00,Sanctum Sanctorum,Medical Kits,798.64,3.15,False
2015-06-01T00:00:00,Avengers Compound,Vibranium (kg),2497.72,3.5,False
2015-06-01T00:00:00,Avengers Compound,Arc Reactor Cores,798.02,4.2,False
2015-06-01T00:00:00,Avengers Compound,Pym Particles,797.01,3.85,False
2015-06-01T00:00:00,Avengers Compound,Clean Water (L),2495.55,4.2,False
2015-06-01T00:00:00,Avengers Compound,Medical Kits,797.53,3.15,False
2015-06-01T01:00:00,New Asgard,Vibranium (kg),2496.66,3.55,False
2015-06-01T01:00:00,New Asgard,Arc Reactor Cores,793.08,4.26,False
2015-06-01T01:00:00,New Asgard,Pym Particles,794.95,3.91,False
2015-06-01T01:00:00,New Asgard,Clean Water (L),2494.95,4.26,False
2015-06-01T01:00:00,New Asgard,Medical Kits,794.43,3.2,False
2015-06-01T01:00:00,Wakanda,Vibranium (kg),2495.89,3.55,False
2015-06-01T01:00:00,Wakanda,Arc Reactor Cores,795.05,4.26,False
2015-06-01T01:00:00,Wakanda,Pym Particles,796.0,3.91,False
2015-06-01T01:00:00,Wakanda,Clean Water (L),2493.15,4.26,False
2015-06-01T01:00:00,Wakanda,Medical Kits,795.52,3.2,False
2015-06-01T01:00:00,Sokovia,Vibranium (kg),2493.01,3.55,False
2015-06-01T01:00:00,Sokovia,Arc Reactor Cores,794.17,4.26,False
2015-06-01T01:00:00,Sokovia,Pym Particles,795.09,3.91,False
2015-06-01T01:00:00,Sokovia,Clean Water (L),2494.34,4.26,False
2015-06-01T01:00:00,Sokovia,Medical Kits,794.75,3.2,False
2015-06-01T01:00:00,Sanctum Sanctorum,Vibranium (kg),2494.08,3.55,False
2015-06-01T01:00:00,Sanctum Sanctorum,Arc Reactor Cores,795.41,4.26,False
2015-06-01T01:00:00,Sanctum Sanctorum,Pym Particles,793.37,3.91,False
2015-06-01T01:00:00,Sanctum Sanctorum,Clean Water (L),2492.88,4.26,False
2015-06-01T01:00:00,Sanctum Sanctorum,Medical Kits,794.98,3.2,False
2015-06-01T01:00:00,Avengers Compound,Vibranium (kg),2495.64,3.55,False
2015-06-01T01:00:00,Avengers Compound,Arc Reactor Cores,794.96,4.26,False
2015-06-01T01:00:00,Avengers Compound,Pym Particles,795.76,3.91,False
2015-06-01T01:00:00,Avengers Compound,Clean Water (L),2492.74,4.26,False
2015-06-01T01:00:00,Avengers Compound,Medical Kits,793.99,3.2,False
2015-06-01T02:00:00,New Asgard,Vibranium (kg),2493.88,3.7,False
2015-06-01T02:00:00,New Asgard,Arc Reactor Cores,790.58,4.44,False
2015-06-01T02:00:00,New Asgard,Pym Particles,793.6,4.07,False
2015-06-01T02:00:00,New Asgard,Clean Water (L),2492.29,4.44,False
2015-06-01T02:00:00,New Asgard,Medical Kits,792.02,3.33,False
2015-06-01T02:00:00,Wakanda,Vibranium (kg),2492.73,3.7,False
