timestamp,location,resource_type,inventory_level,consumption_rate,supply_rate,days_remaining,threat_level
2012-05-03 08:00:00,Avengers Compound,Arc Reactor Cores,500.71,1.42,2.13,999.9,LOW
2012-05-03 08:00:00,Avengers Compound,Pym Particles,250.31,0.98,1.29,999.9,LOW
2012-05-03 08:00:00,Avengers Compound,Clean Water (L),10016.73,46.25,62.98,999.9,LOW
2012-05-03 08:00:00,Avengers Compound,Medical Kits,401.0,3.17,4.16,999.9,LOW
2012-05-03 08:00:00,Avengers Compound,Vibranium (kg),200.11,0.5,0.61,999.9,LOW
2012-05-03 08:00:00,Sokovia,Arc Reactor Cores,500.45,1.6,2.05,999.9,LOW
2012-05-03 08:00:00,Sokovia,Pym Particles,250.22,0.93,1.15,999.9,LOW
2012-05-03 08:00:00,Sokovia,Clean Water (L),10005.1,53.78,58.88,999.9,LOW
2012-05-03 08:00:00,Sokovia,Medical Kits,401.55,2.77,4.33,999.9,LOW
2012-05-03 08:00:00,Sokovia,Vibranium (kg),200.06,0.53,0.59,999.9,LOW
2012-05-03 08:00:00,Wakanda,Arc Reactor Cores,500.34,1.6,1.94,999.9,LOW
2012-05-03 08:00:00,Wakanda,Pym Particles,250.25,0.93,1.18,999.9,LOW
2012-05-03 08:00:00,Wakanda,Clean Water (L),10009.22,53.16,62.38,999.9,LOW
2012-05-03 08:00:00,Wakanda,Medical Kits,400.56,3.29,3.86,999.9,LOW
2012-05-03 08:00:00,Wakanda,Vibranium (kg),200.13,0.47,0.6,999.9,LOW
2012-05-03 08:00:00,New Asgard,Arc Reactor Cores,500.54,1.53,2.07,999.9,LOW
2012-05-03 08:00:00,New Asgard,Pym Particles,250.34,0.95,1.29,999.9,LOW
2012-05-03 08:00:00,New Asgard,Clean Water (L),10008.35,49.66,58.01,999.9,LOW
2012-05-03 08:00:00,New Asgard,Medical Kits,401.02,2.82,3.84,999.9,LOW
2012-05-03 08:00:00,New Asgard,Vibranium (kg),200.08,0.51,0.59,999.9,LOW
2012-05-03 08:00:00,Sanctum Sanctorum,Arc Reactor Cores,500.34,1.64,1.97,999.9,LOW
