timestamp,location,resource_type,inventory_level,consumption_rate,supply_rate,days_remaining,threat_level
2024-10-31 06:00:00,Avengers Compound,Arc Reactor Cores,500.44,1.63,2.07,999.9,LOW
2024-10-31 06:00:00,Avengers Compound,Pym Particles,250.16,0.96,1.11,999.9,LOW
2024-10-31 06:00:00,Avengers Compound,Clean Water (L),10011.26,47.03,58.29,999.9,LOW
2024-10-31 06:00:00,Avengers Compound,Medical Kits,401.19,2.99,4.17,999.9,LOW
2024-10-31 06:00:00,Avengers Compound,Vibranium (kg),200.1,0.48,0.58,999.9,LOW
2024-10-31 06:00:00,Sokovia,Arc Reactor Cores,500.44,1.5,1.93,999.9,LOW
2024-10-31 06:00:00,Sokovia,Pym Particles,250.1,1.02,1.13,999.9,LOW
2024-10-31 06:00:00,Sokovia,Clean Water (L),10012.53,47.96,60.49,999.9,LOW
2024-10-31 06:00:00,Sokovia,Medical Kits,400.46,3.27,3.73,999.9,LOW
2024-10-31 06:00:00,Sokovia,Vibranium (kg),200.1,0.51,0.61,999.9,LOW
2024-10-31 06:00:00,Wakanda,Arc Reactor Cores,500.43,1.59,2.03,999.9,LOW
2024-10-31 06:00:00,Wakanda,Pym Particles,250.09,1.01,1.1,999.9,LOW
2024-10-31 06:00:00,Wakanda,Clean Water (L),10007.63,54.06,61.69,999.9,LOW
2024-10-31 06:00:00,Wakanda,Medical Kits,400.68,3.13,3.81,999.9,LOW
2024-10-31 06:00:00,Wakanda,Vibranium (kg),200.17,0.48,0.65,999.9,LOW
2024-10-31 06:00:00,New Asgard,Arc Reactor Cores,500.44,1.5,1.94,999.9,LOW
2024-10-31 06:00:00,New Asgard,Pym Particles,250.17,0.95,1.12,999.9,LOW
2024-10-31 06:00:00,New Asgard,Clean Water (L),10000.19,54.46,54.65,999.9,LOW
2024-10-31 06:00:00,New Asgard,Medical Kits,400.88,2.72,3.61,999.9,LOW
2024-10-31 06:00:00,New Asgard,Vibranium (kg),200.07,0.55,0.61,999.9,LOW
2024-10-31 06:00:00,Sanctum Sanctorum,Arc Reactor Cores,500.71,1.41,2.12,999.9,LOW
2024-10-31 06:00:00,Sanctum Sanctorum,Pym Particles,250.08,1.06,1.14,999.9,LOW
2024-10-31 06:00:00,Sanctum Sanctorum,Clean Water (L),10014.69,46.23,60.93,999.9,LOW
2024-10-31 06:00:00,Sanctum Sanctorum,Medical Kits,400.56,3.26,3.82,999.9,LOW
2024-10-31 06:00:00,Sanctum Sanctorum,Vibranium (kg),200.13,0.47,0.6,999.9,LOW
2024-10-31 06:05:00,Avengers Compound,Arc Reactor Cores,500.93,1.49,1.98,999.9,LOW
2024-10-31 06:05:00,Avengers Compound,Pym Particles,250.53,0.93,1.3,999.9,LOW
2024-10-31 06:05:00,Avengers Compound,Clean Water (L),10018.1,54.67,61.51,999.9,LOW
2024-10-31 06:05:00,Avengers Compound,Medical Kits,402.13,2.84,3.79,999.9,LOW
2024-10-31 06:05:00,Avengers Compound,Vibranium (kg),200.26,0.47,0.63,999.9,LOW
2024-10-31 06:05:00,Sokovia,Arc Reactor Cores,501.04,1.58,2.18,999.9,LOW
2024-10-31 06:05:00,Sokovia,Pym Particles,250.21,1.03,1.14,999.9,LOW
2024-10-31 06:05:00,Sokovia,Clean Water (L),10013.5,54.29,55.26,999.9,LOW
2024-10-31 06:05:00,Sokovia,Medical Kits,401.46,2.76,3.75,999.9,LOW
2024-10-31 06:05:00,Sokovia,Vibranium (kg),200.25,0.49,0.64,999.9,LOW
2024-10-31 06:05:00,Wakanda,Arc Reactor Cores,501.07,1.5,2.14,999.9,LOW
2024-10-31 06:05:00,Wakanda,Pym Particles,250.38,1.01,1.3,999.9,LOW
2024-10-31 06:05:00,Wakanda,Clean Water (L),10012.17,54.48,59.03,999.9,LOW
2024-10-31 06:05:00,Wakanda,Medical Kits,401.74,2.84,3.9,999.9,LOW
2024-10-31 06:05:00,Wakanda,Vibranium (kg),200.32,0.49,0.64,999.9,LOW
2024-10-31 06:05:00,New Asgard,Arc Reactor Cores,500.95,1.63,2.14,999.9,LOW
2024-10-31 06:05:00,New Asgard,Pym Particles,250.37,1.04,1.24,999.9,LOW
2024-10-31 06:05:00,New Asgard,Clean Water (L),10010.81,49.86,60.47,999.9,LOW
2024-10-31 06:05:00,New Asgard,Medical Kits,401.78,2.75,3.65,999.9,LOW
