timestamp,location,resource_type,inventory_level,consumption_rate,supply_rate,days_remaining,threat_level
2023-09-30 12:00:00,Avengers Compound,Arc Reactor Cores,500.38,1.46,1.84,999.9,LOW
2023-09-30 12:00:00,Avengers Compound,Pym Particles,250.04,1.08,1.13,999.9,LOW
2023-09-30 12:00:00,Avengers Compound,Clean Water (L),10012.68,45.08,57.76,999.9,LOW
2023-09-30 12:00:00,Avengers Compound,Medical Kits,400.71,2.96,3.67,999.9,LOW
2023-09-30 12:00:00,Avengers Compound,Vibranium (kg),200.12,0.5,0.62,999.9,LOW
2023-09-30 12:00:00,Sokovia,Arc Reactor Cores,500.54,1.61,2.16,999.9,LOW
2023-09-30 12:00:00,Sokovia,Pym Particles,250.1,1.0,1.1,999.9,LOW
2023-09-30 12:00:00,Sokovia,Clean Water (L),10012.59,45.24,57.83,999.9,LOW
2023-09-30 12:00:00,Sokovia,Medical Kits,401.37,2.82,4.19,999.9,LOW
2023-09-30 12:00:00,Sokovia,Vibranium (kg),200.09,0.5,0.59,999.9,LOW
2023-09-30 12:00:00,Wakanda,Arc Reactor Cores,500.53,1.63,2.15,999.9,LOW
2023-09-30 12:00:00,Wakanda,Pym Particles,250.07,1.01,1.09,999.9,LOW
2023-09-30 12:00:00,Wakanda,Clean Water (L),10010.62,54.11,64.74,999.9,LOW
2023-09-30 12:00:00,Wakanda,Medical Kits,400.86,2.84,3.7,999.9,LOW
2023-09-30 12:00:00,Wakanda,Vibranium (kg),200.04,0.51,0.55,999.9,LOW
2023-09-30 12:00:00,New Asgard,Arc Reactor Cores,500.4,1.56,1.96,999.9,LOW
2023-09-30 12:00:00,New Asgard,Pym Particles,250.16,0.97,1.13,999.9,LOW
2023-09-30 12:00:00,New Asgard,Clean Water (L),10007.89,51.02,58.91,999.9,LOW
2023-09-30 12:00:00,New Asgard,Medical Kits,401.3,2.8,4.1,999.9,LOW
2023-09-30 12:00:00,New Asgard,Vibranium (kg),200.16,0.45,0.61,999.9,LOW
2023-09-30 12:00:00,Sanctum Sanctorum,Arc Reactor Cores,500.6,1.53,2.13,999.9,LOW
2023-09-30 12:00:00,Sanctum Sanctorum,Pym Particles,250.21,1.09,1.3,999.9,LOW
2023-09-30 12:00:00,Sanctum Sanctorum,Clean Water (L),10019.09,46.24,65.33,999.9,LOW
