timestamp,location,resource_type,inventory_level,consumption_rate,supply_rate,days_remaining,threat_level
2025-07-31 10:00:00,Avengers Compound,Arc Reactor Cores,500.32,1.54,1.86,999.9,LOW
2025-07-31 10:00:00,Avengers Compound,Pym Particles,250.25,1.06,1.31,999.9,LOW
2025-07-31 10:00:00,Avengers Compound,Clean Water (L),10006.17,49.34,55.5,999.9,LOW
2025-07-31 10:00:00,Avengers Compound,Medical Kits,400.86,3.07,3.93,999.9,LOW
2025-07-31 10:00:00,Avengers Compound,Vibranium (kg),200.1,0.49,0.59,999.9,LOW
2025-07-31 10:00:00,Sokovia,Arc Reactor Cores,500.4,1.63,2.03,999.9,LOW
2025-07-31 10:00:00,Sokovia,Pym Particles,250.25,1.03,1.29,999.9,LOW
2025-07-31 10:00:00,Sokovia,Clean Water (L),10017.5,45.43,62.93,999.9,LOW
2025-07-31 10:00:00,Sokovia,Medical Kits,401.3,2.83,4.12,999.9,LOW
2025-07-31 10:00:00,Sokovia,Vibranium (kg),200.14,0.5,0.64,999.9,LOW
2025-07-31 10:00:00,Wakanda,Arc Reactor Cores,500.73,1.42,2.15,999.9,LOW
2025-07-31 10:00:00,Wakanda,Pym Particles,250.23,0.95,1.18,999.9,LOW
2025-07-31 10:00:00,Wakanda,Clean Water (L),10012.56,49.35,61.91,999.9,LOW
2025-07-31 10:00:00,Wakanda,Medical Kits,401.0,3.09,4.09,999.9,LOW
2025-07-31 10:00:00,Wakanda,Vibranium (kg),200.1,0.46,0.56,999.9,LOW
2025-07-31 10:00:00,New Asgard,Arc Reactor Cores,500.72,1.35,2.07,999.9,LOW
2025-07-31 10:00:00,New Asgard,Pym Particles,250.18,0.94,1.12,999.9,LOW
2025-07-31 10:00:00,New Asgard,Clean Water (L),10009.3,51.25,60.54,999.9,LOW
2025-07-31 10:00:00,New Asgard,Medical Kits,400.66,3.0,3.65,999.9,LOW
2025-07-31 10:00:00,New Asgard,Vibranium (kg),200.09,0.55,0.64,999.9,LOW
2025-07-31 10:00:00,Sanctum Sanctorum,Arc Reactor Cores,500.27,1.63,1.9,999.9,LOW
2025-07-31 10:00:00,Sanctum Sanctorum,Pym Particles,250.28,1.0,1.27,999.9,LOW
2025-07-31 10:00:00,Sanctum Sanctorum,Clean Water (L),10007.69,53.05,60.73,999.9,LOW
2025-07-31 10:00:00,Sanctum Sanctorum,Medical Kits,401.28,3.06,4.34,999.9,LOW
2025-07-31 10:00:00,Sanctum Sanctorum,Vibranium (kg),200.13,0.49,0.62,999.9,LOW
2025-07-31 10:05:00,Avengers Compound,Arc Reactor Cores,500.73,1.63,2.04,999.9,LOW
2025-07-31 10:05:00,Avengers Compound,Pym Particles,250.49,0.96,1.21,999.9,LOW
2025-07-31 10:05:00,Avengers Compound,Clean Water (L),10020.54,48.54,62.92,999.9,LOW
2025-07-31 10:05:00,Avengers Compound,Medical Kits,401.65,3.27,4.06,999.9,LOW
2025-07-31 10:05:00,Avengers Compound,Vibranium (kg),200.21,0.46,0.57,999.9,LOW
2025-07-31 10:05:00,Sokovia,Arc Reactor Cores,500.75,1.55,1.89,999.9,LOW
2025-07-31 10:05:00,Sokovia,Pym Particles,250.52,0.94,1.2,999.9,LOW
2025-07-31 10:05:00,Sokovia,Clean Water (L),10031.45,49.53,63.48,999.9,LOW
2025-07-31 10:05:00,Sokovia,Medical Kits,401.97,3.09,3.75,999.9,LOW
2025-07-31 10:05:00,Sokovia,Vibranium (kg),200.26,0.52,0.64,999.9,LOW
2025-07-31 10:05:00,Wakanda,Arc Reactor Cores,500.97,1.64,1.88,999.9,LOW
2025-07-31 10:05:00,Wakanda,Pym Particles,250.34,0.98,1.09,999.9,LOW
2025-07-31 10:05:00,Wakanda,Clean Water (L),10026.83,47.67,61.94,999.9,LOW
2025-07-31 10:05:00,Wakanda,Medical Kits,401.71,3.0,3.7,999.9,LOW
2025-07-31 10:05:00,Wakanda,Vibranium (kg),200.18,0.49,0.56,999.9,LOW
2025-07-31 10:05:00,New Asgard,Arc Reactor Cores,501.51,1.4,2.2,999.9,LOW
2025-07-31 10:05:00,New Asgard,Pym Particles,250.56,0.93,1.31,999.9,LOW
2025-07-31 10:05:00,New Asgard,Clean Water (L),10014.54,51.7,56.94,999.9,LOW
2025-07-31 10:05:00,New Asgard,Medical Kits,401.78,3.05,4.17,999.9,LOW
2025-07-31 10:05:00,New Asgard,Vibranium (kg),200.26,0.47,0.65,999.9,LOW
2025-07-31 10:05:00,Sanctum Sanctorum,Arc Reactor Cores,500.78,1.52,2.04,999.9,LOW
2025-07-31 10:05:00,Sanctum Sanctorum,Pym Particles,250.4,1.0,1.13,999.9,LOW
2025-07-31 10:05:00,Sanctum Sanctorum,Clean Water (L),10014.22,48.97,55.51,999.9,LOW
2025-07-31 10:05:00,Sanctum Sanctorum,Medical Kits,402.25,3.3,4.27,999.9,LOW
2025-07-31 10:05:00,Sanctum Sanctorum,Vibranium (kg),200.25,0.52,0.64,999.9,LOW
2025-07-31 10:10:00,Avengers Compound,Arc Reactor Cores,500.96,1.64,1.87,999.9,LOW
2025-07-31 10:10:00,Avengers Compound,Pym Particles,250.8,0.91,1.21,999.9,LOW
2025-07-31 10:10:00,Avengers Compound,Clean Water (L),10032.98,52.47,64.9,999.9,LOW
2025-07-31 10:10:00,Avengers Compound,Medical Kits,402.28,3.3,3.92,999.9,LOW
2025-07-31 10:10:00,Avengers Compound,Vibranium (kg),200.27,0.51,0.57,999.9,LOW
2025-07-31 10:10:00,Sokovia,Arc Reactor Cores,501.28,1.5,2.04,999.9,LOW
2025-07-31 10:10:00,Sokovia,Pym Particles,250.66,0.96,1.1,999.9,LOW
2025-07-31 10:10:00,Sokovia,Clean Water (L),10044.92,47.4,60.87,999.9,LOW
2025-07-31 10:10:00,Sokovia,Medical Kits,403.32,2.79,4.14,999.9,LOW
2025-07-31 10:10:00,Sokovia,Vibranium (kg),200.36,0.49,0.59,999.9,LOW
2025-07-31 10:10:00,Wakanda,Arc Reactor Cores,501.56,1.59,2.17,999.9,LOW
2025-07-31 10:10:00,Wakanda,Pym Particles,250.6,0.93,1.19,999.9,LOW
2025-07-31 10:10:00,Wakanda,Clean Water (L),10039.17,53.37,65.71,999.9,LOW
2025-07-31 10:10:00,Wakanda,Medical Kits,402.19,3.17,3.65,999.9,LOW
2025-07-31 10:10:00,Wakanda,Vibranium (kg),200.28,0.45,0.56,999.9,LOW
2025-07-31 10:10:00,New Asgard,Arc Reactor Cores,501.98,1.53,2.0,999.9,LOW
2025-07-31 10:10:00,New Asgard,Pym Particles,250.72,1.02,1.19,999.9,LOW
2025-07-31 10:10:00,New Asgard,Clean Water (L),10028.97,48.34,62.76,999.9,LOW
2025-07-31 10:10:00,New Asgard,Medical Kits,402.19,3.23,3.64,999.9,LOW
2025-07-31 10:10:00,New Asgard,Vibranium (kg),200.33,0.5,0.57,999.9,LOW
2025-07-31 10:10:00,Sanctum Sanctorum,Arc Reactor Cores,500.99,1.6,1.81,999.9,LOW
2025-07-31 10:10:00,Sanctum Sanctorum,Pym Particles,250.54,0.96,1.1,999.9,LOW
2025-07-31 10:10:00,Sanctum Sanctorum,Clean Water (L),10021.38,47.87,55.03,999.9,LOW
2025-07-31 10:10:00,Sanctum Sanctorum,Medical Kits,403.31,2.72,3.78,999.9,LOW
2025-07-31 10:10:00,Sanctum Sanctorum,Vibranium (kg),200.39,0.51,0.65,999.9,LOW
2025-07-31 10:15:00,Avengers Compound,Arc Reactor Cores,501.24,1.62,1.89,999.9,LOW
2025-07-31 10:15:00,Avengers Compound,Pym Particles,251.05,1.05,1.31,999.9,LOW
2025-07-31 10:15:00,Avengers Compound,Clean Water (L),10039.27,51.31,57.6,999.9,LOW
2025-07-31 10:15:00,Avengers Compound,Medical Kits,403.05,3.14,3.91,999.9,LOW
2025-07-31 10:15:00,Avengers Compound,Vibranium (kg),200.29,0.53,0.55,999.9,LOW
2025-07-31 10:15:00,Sokovia,Arc Reactor Cores,501.75,1.59,2.06,999.9,LOW
2025-07-31 10:15:00,Sokovia,Pym Particles,250.9,0.96,1.2,999.9,LOW
2025-07-31 10:15:00,Sokovia,Clean Water (L),10062.6,46.3,63.97,999.9,LOW
2025-07-31 10:15:00,Sokovia,Medical Kits,404.63,2.85,4.16,999.9,LOW
2025-07-31 10:15:00,Sokovia,Vibranium (kg),200.46,0.48,0.57,999.9,LOW
2025-07-31 10:15:00,Wakanda,Arc Reactor Cores,501.97,1.4,1.81,999.9,LOW
2025-07-31 10:15:00,Wakanda,Pym Particles,250.88,1.01,1.3,999.9,LOW
2025-07-31 10:15:00,Wakanda,Clean Water (L),10042.39,53.01,56.23,999.9,LOW
2025-07-31 10:15:00,Wakanda,Medical Kits,402.84,3.21,3.86,999.9,LOW
2025-07-31 10:15:00,Wakanda,Vibranium (kg),200.35,0.51,0.57,999.9,LOW
2025-07-31 10:15:00,New Asgard,Arc Reactor Cores,502.61,1.43,2.06,999.9,LOW
2025-07-31 10:15:00,New Asgard,Pym Particles,250.88,1.0,1.16,999.9,LOW
2025-07-31 10:15:00,New Asgard,Clean Water (L),10045.87,46.16,63.06,999.9,LOW
2025-07-31 10:15:00,New Asgard,Medical Kits,402.74,3.11,3.67,999.9,LOW
