timestamp,location,resource_type,inventory_level,consumption_rate,supply_rate,days_remaining,threat_level
2015-04-30 10:00:00,Avengers Compound,Arc Reactor Cores,500.54,1.36,1.9,999.9,LOW
2015-04-30 10:00:00,Avengers Compound,Pym Particles,250.01,1.07,1.08,999.9,LOW
2015-04-30 10:00:00,Avengers Compound,Clean Water (L),10006.34,48.04,54.38,999.9,LOW
2015-04-30 10:00:00,Avengers Compound,Medical Kits,400.89,3.21,4.1,999.9,LOW
2015-04-30 10:00:00,Avengers Compound,Vibranium (kg),200.08,0.49,0.58,999.9,LOW
2015-04-30 10:00:00,Sokovia,Arc Reactor Cores,500.69,1.42,2.11,999.9,LOW
2015-04-30 10:00:00,Sokovia,Pym Particles,250.06,1.04,1.11,999.9,LOW
2015-04-30 10:00:00,Sokovia,Clean Water (L),10007.95,48.25,56.2,999.9,LOW
2015-04-30 10:00:00,Sokovia,Medical Kits,400.94,3.13,4.07,999.9,LOW
2015-04-30 10:00:00,Sokovia,Vibranium (kg),200.1,0.49,0.59,999.9,LOW
2015-04-30 10:00:00,Wakanda,Arc Reactor Cores,500.25,1.61,1.86,999.9,LOW
2015-04-30 10:00:00,Wakanda,Pym Particles,250.07,1.03,1.09,999.9,LOW
2015-04-30 10:00:00,Wakanda,Clean Water (L),10007.7,52.94,60.64,999.9,LOW
2015-04-30 10:00:00,Wakanda,Medical Kits,401.17,2.99,4.15,999.9,LOW
2015-04-30 10:00:00,Wakanda,Vibranium (kg),200.08,0.49,0.57,999.9,LOW
2015-04-30 10:00:00,New Asgard,Arc Reactor Cores,500.39,1.56,1.94,999.9,LOW
2015-04-30 10:00:00,New Asgard,Pym Particles,250.2,0.97,1.18,999.9,LOW
2015-04-30 10:00:00,New Asgard,Clean Water (L),10012.42,49.88,62.3,999.9,LOW
2015-04-30 10:00:00,New Asgard,Medical Kits,401.18,3.17,4.35,999.9,LOW
2015-04-30 10:00:00,New Asgard,Vibranium (kg),200.14,0.49,0.63,999.9,LOW
2015-04-30 10:00:00,Sanctum Sanctorum,Arc Reactor Cores,500.59,1.47,2.06,999.9,LOW
2015-04-30 10:00:00,Sanctum Sanctorum,Pym Particles,250.27,0.93,1.2,999.9,LOW
2015-04-30 10:00:00,Sanctum Sanctorum,Clean Water (L),10008.08,49.42,57.5,999.9,LOW
2015-04-30 10:00:00,Sanctum Sanctorum,Medical Kits,400.66,3.25,3.91,999.9,LOW
2015-04-30 10:00:00,Sanctum Sanctorum,Vibranium (kg),200.17,0.49,0.66,999.9,LOW
2015-04-30 10:05:00,Avengers Compound,Arc Reactor Cores,501.25,1.37,2.07,999.9,LOW
2015-04-30 10:05:00,Avengers Compound,Pym Particles,250.3,1.02,1.32,999.9,LOW
