timestamp,location,resource_type,inventory_level,consumption_rate,supply_rate,days_remaining,threat_level
2018-10-14 14:00:00,Avengers Compound,Arc Reactor Cores,500.57,1.41,1.98,999.9,LOW
2018-10-14 14:00:00,Avengers Compound,Pym Particles,250.2,0.93,1.13,999.9,LOW
2018-10-14 14:00:00,Avengers Compound,Clean Water (L),10003.83,54.38,58.2,999.9,LOW
2018-10-14 14:00:00,Avengers Compound,Medical Kits,401.02,3.24,4.27,999.9,LOW
2018-10-14 14:00:00,Avengers Compound,Vibranium (kg),200.02,0.53,0.55,999.9,LOW
2018-10-14 14:00:00,Sokovia,Arc Reactor Cores,500.38,1.48,1.86,999.9,LOW
2018-10-14 14:00:00,Sokovia,Pym Particles,250.06,1.08,1.15,999.9,LOW
2018-10-14 14:00:00,Sokovia,Clean Water (L),10020.62,45.25,65.87,999.9,LOW
2018-10-14 14:00:00,Sokovia,Medical Kits,400.94,3.29,4.24,999.9,LOW
2018-10-14 14:00:00,Sokovia,Vibranium (kg),200.15,0.5,0.65,999.9,LOW
2018-10-14 14:00:00,Wakanda,Arc Reactor Cores,500.46,1.43,1.89,999.9,LOW
2018-10-14 14:00:00,Wakanda,Pym Particles,250.29,0.96,1.24,999.9,LOW
2018-10-14 14:00:00,Wakanda,Clean Water (L),10012.63,47.45,60.08,999.9,LOW
2018-10-14 14:00:00,Wakanda,Medical Kits,400.73,3.22,3.94,999.9,LOW
2018-10-14 14:00:00,Wakanda,Vibranium (kg),200.18,0.46,0.64,999.9,LOW
2018-10-14 14:00:00,New Asgard,Arc Reactor Cores,500.34,1.63,1.97,999.9,LOW
2018-10-14 14:00:00,New Asgard,Pym Particles,250.23,0.94,1.17,999.9,LOW
2018-10-14 14:00:00,New Asgard,Clean Water (L),10015.1,50.39,65.49,999.9,LOW
2018-10-14 14:00:00,New Asgard,Medical Kits,400.64,3.2,3.83,999.9,LOW
2018-10-14 14:00:00,New Asgard,Vibranium (kg),200.11,0.54,0.65,999.9,LOW
2018-10-14 14:00:00,Sanctum Sanctorum,Arc Reactor Cores,500.5,1.49,1.99,999.9,LOW
2018-10-14 14:00:00,Sanctum Sanctorum,Pym Particles,250.08,1.08,1.16,999.9,LOW
2018-10-14 14:00:00,Sanctum Sanctorum,Clean Water (L),10006.88,50.54,57.42,999.9,LOW
2018-10-14 14:00:00,Sanctum Sanctorum,Medical Kits,400.86,3.11,3.97,999.9,LOW
2018-10-14 14:00:00,Sanctum Sanctorum,Vibranium (kg),200.12,0.47,0.59,999.9,LOW
2018-10-14 14:05:00,Avengers Compound,Arc Reactor Cores,500.87,1.63,1.93,999.9,LOW
2018-10-14 14:05:00,Avengers Compound,Pym Particles,250.38,0.92,1.09,999.9,LOW
2018-10-14 14:05:00,Avengers Compound,Clean Water (L),10017.58,45.6,59.36,999.9,LOW
2018-10-14 14:05:00,Avengers Compound,Medical Kits,401.59,3.21,3.78,999.9,LOW
2018-10-14 14:05:00,Avengers Compound,Vibranium (kg),200.04,0.53,0.55,999.9,LOW
2018-10-14 14:05:00,Sokovia,Arc Reactor Cores,501.06,1.4,2.09,999.9,LOW
2018-10-14 14:05:00,Sokovia,Pym Particles,250.33,0.9,1.17,999.9,LOW
2018-10-14 14:05:00,Sokovia,Clean Water (L),10021.62,53.75,54.75,999.9,LOW
2018-10-14 14:05:00,Sokovia,Medical Kits,402.01,2.87,3.94,999.9,LOW
2018-10-14 14:05:00,Sokovia,Vibranium (kg),200.18,0.52,0.55,999.9,LOW
2018-10-14 14:05:00,Wakanda,Arc Reactor Cores,501.13,1.52,2.2,999.9,LOW
2018-10-14 14:05:00,Wakanda,Pym Particles,250.52,1.04,1.27,999.9,LOW
2018-10-14 14:05:00,Wakanda,Clean Water (L),10016.99,51.96,56.32,999.9,LOW
2018-10-14 14:05:00,Wakanda,Medical Kits,401.86,2.72,3.85,999.9,LOW
2018-10-14 14:05:00,Wakanda,Vibranium (kg),200.19,0.53,0.55,999.9,LOW
2018-10-14 14:05:00,New Asgard,Arc Reactor Cores,500.61,1.63,1.9,999.9,LOW
2018-10-14 14:05:00,New Asgard,Pym Particles,250.49,1.04,1.3,999.9,LOW
2018-10-14 14:05:00,New Asgard,Clean Water (L),10024.31,46.75,55.96,999.9,LOW
2018-10-14 14:05:00,New Asgard,Medical Kits,401.8,2.89,4.05,999.9,LOW
2018-10-14 14:05:00,New Asgard,Vibranium (kg),200.17,0.49,0.54,999.9,LOW
2018-10-14 14:05:00,Sanctum Sanctorum,Arc Reactor Cores,500.88,1.47,1.85,999.9,LOW
2018-10-14 14:05:00,Sanctum Sanctorum,Pym Particles,250.17,0.99,1.08,999.9,LOW
2018-10-14 14:05:00,Sanctum Sanctorum,Clean Water (L),10009.34,54.56,57.02,999.9,LOW
2018-10-14 14:05:00,Sanctum Sanctorum,Medical Kits,401.64,3.12,3.9,999.9,LOW
2018-10-14 14:05:00,Sanctum Sanctorum,Vibranium (kg),200.21,0.54,0.63,999.9,LOW
2018-10-14 14:10:00,Avengers Compound,Arc Reactor Cores,501.34,1.57,2.04,999.9,LOW
2018-10-14 14:10:00,Avengers Compound,Pym Particles,250.5,0.99,1.12,999.9,LOW
2018-10-14 14:10:00,Avengers Compound,Clean Water (L),10023.73,48.4,54.55,999.9,LOW
2018-10-14 14:10:00,Avengers Compound,Medical Kits,402.81,3.1,4.31,999.9,LOW
2018-10-14 14:10:00,Avengers Compound,Vibranium (kg),200.15,0.48,0.59,999.9,LOW
2018-10-14 14:10:00,Sokovia,Arc Reactor Cores,501.85,1.4,2.19,999.9,LOW
2018-10-14 14:10:00,Sokovia,Pym Particles,250.58,1.03,1.27,999.9,LOW
2018-10-14 14:10:00,Sokovia,Clean Water (L),10025.59,51.27,55.23,999.9,LOW
2018-10-14 14:10:00,Sokovia,Medical Kits,403.2,3.01,4.2,999.9,LOW
2018-10-14 14:10:00,Sokovia,Vibranium (kg),200.33,0.46,0.61,999.9,LOW
2018-10-14 14:10:00,Wakanda,Arc Reactor Cores,501.51,1.47,1.85,999.9,LOW
2018-10-14 14:10:00,Wakanda,Pym Particles,250.57,1.04,1.09,999.9,LOW
2018-10-14 14:10:00,Wakanda,Clean Water (L),10032.34,47.09,62.44,999.9,LOW
2018-10-14 14:10:00,Wakanda,Medical Kits,402.95,2.97,4.06,999.9,LOW
2018-10-14 14:10:00,Wakanda,Vibranium (kg),200.34,0.49,0.64,999.9,LOW
2018-10-14 14:10:00,New Asgard,Arc Reactor Cores,501.15,1.39,1.93,999.9,LOW
2018-10-14 14:10:00,New Asgard,Pym Particles,250.9,0.9,1.31,999.9,LOW
2018-10-14 14:10:00,New Asgard,Clean Water (L),10037.56,50.39,63.64,999.9,LOW
2018-10-14 14:10:00,New Asgard,Medical Kits,403.19,2.9,4.29,999.9,LOW
2018-10-14 14:10:00,New Asgard,Vibranium (kg),200.3,0.46,0.59,999.9,LOW
2018-10-14 14:10:00,Sanctum Sanctorum,Arc Reactor Cores,501.32,1.48,1.92,999.9,LOW
2018-10-14 14:10:00,Sanctum Sanctorum,Pym Particles,250.25,1.09,1.17,999.9,LOW
2018-10-14 14:10:00,Sanctum Sanctorum,Clean Water (L),10025.32,45.99,61.96,999.9,LOW
2018-10-14 14:10:00,Sanctum Sanctorum,Medical Kits,402.55,2.7,3.62,999.9,LOW
2018-10-14 14:10:00,Sanctum Sanctorum,Vibranium (kg),200.32,0.51,0.61,999.9,LOW
2018-10-14 14:15:00,Avengers Compound,Arc Reactor Cores,501.73,1.48,1.87,999.9,LOW
2018-10-14 14:15:00,Avengers Compound,Pym Particles,250.85,0.95,1.3,999.9,LOW
