timestamp,location,resource_type,inventory_level,consumption_rate,supply_rate,days_remaining,threat_level
2024-12-14 16:00:00,Avengers Compound,Arc Reactor Cores,500.44,1.57,2.01,999.9,LOW
2024-12-14 16:00:00,Avengers Compound,Pym Particles,250.17,1.07,1.25,999.9,LOW
2024-12-14 16:00:00,Avengers Compound,Clean Water (L),10017.32,48.37,65.7,999.9,LOW
2024-12-14 16:00:00,Avengers Compound,Medical Kits,401.33,2.96,4.28,999.9,LOW
2024-12-14 16:00:00,Avengers Compound,Vibranium (kg),200.05,0.53,0.59,999.9,LOW
2024-12-14 16:00:00,Sokovia,Arc Reactor Cores,500.59,1.39,1.98,999.9,LOW
2024-12-14 16:00:00,Sokovia,Pym Particles,250.29,0.92,1.21,999.9,LOW
2024-12-14 16:00:00,Sokovia,Clean Water (L),10011.22,52.05,63.27,999.9,LOW
2024-12-14 16:00:00,Sokovia,Medical Kits,400.74,2.95,3.7,999.9,LOW
2024-12-14 16:00:00,Sokovia,Vibranium (kg),200.12,0.49,0.61,999.9,LOW
2024-12-14 16:00:00,Wakanda,Arc Reactor Cores,500.27,1.64,1.91,999.9,LOW
2024-12-14 16:00:00,Wakanda,Pym Particles,250.19,1.02,1.21,999.9,LOW
2024-12-14 16:00:00,Wakanda,Clean Water (L),10014.63,47.65,62.28,999.9,LOW
2024-12-14 16:00:00,Wakanda,Medical Kits,401.3,2.78,4.08,999.9,LOW
2024-12-14 16:00:00,Wakanda,Vibranium (kg),200.13,0.51,0.64,999.9,LOW
2024-12-14 16:00:00,New Asgard,Arc Reactor Cores,500.25,1.56,1.8,999.9,LOW
2024-12-14 16:00:00,New Asgard,Pym Particles,250.2,1.0,1.2,999.9,LOW
2024-12-14 16:00:00,New Asgard,Clean Water (L),10013.95,50.15,64.09,999.9,LOW
2024-12-14 16:00:00,New Asgard,Medical Kits,400.93,3.27,4.2,999.9,LOW
2024-12-14 16:00:00,New Asgard,Vibranium (kg),200.09,0.47,0.57,999.9,LOW
