timestamp,sector_id,resource_type,stock_level,usage_rate_hourly,snap_event_detected
2026-03-01T17:24:10.845894+00:00,Avengers Compound,Arc Reactor Cores,556.41,16.77,False
2026-03-01T17:24:10.845894+00:00,Avengers Compound,Clean Water (L),2292.77,5.5,False
2026-03-01T17:24:10.845894+00:00,Avengers Compound,Medical Kits,379.97,17.2,False
2026-03-01T17:24:10.845894+00:00,Avengers Compound,Pym Particles,234.25,2.82,False
2026-03-01T17:24:10.845894+00:00,Avengers Compound,Vibranium (kg),175.25,1.75,False
2026-03-01T17:24:10.845894+00:00,New Asgard,Arc Reactor Cores,427.04,4.27,False
2026-03-01T17:24:10.845894+00:00,New Asgard,Clean Water (L),2452.35,5.89,False
2026-03-01T17:24:10.845894+00:00,New Asgard,Medical Kits,418.64,4.7,False
2026-03-01T17:24:10.845894+00:00,New Asgard,Pym Particles,216.81,2.6,False
2026-03-01T17:24:10.845894+00:00,New Asgard,Vibranium (kg),175.45,1.76,False
2026-03-01T17:24:10.845894+00:00,Sanctum Sanctorum,Arc Reactor Cores,439.69,4.41,False
2026-03-01T17:24:10.845894+00:00,Sanctum Sanctorum,Clean Water (L),2787.41,6.69,False
2026-03-01T17:24:10.845894+00:00,Sanctum Sanctorum,Medical Kits,373.4,4.2,False
2026-03-01T17:24:10.845894+00:00,Sanctum Sanctorum,Pym Particles,258.45,3.11,False
2026-03-01T17:24:10.845894+00:00,Sanctum Sanctorum,Vibranium (kg),212.82,2.14,False
2026-03-01T17:24:10.845894+00:00,Sokovia,Arc Reactor Cores,483.85,4.85,False
2026-03-01T17:24:10.845894+00:00,Sokovia,Clean Water (L),2359.78,5.66,False
2026-03-01T17:24:10.845894+00:00,Sokovia,Medical Kits,351.54,3.95,False
2026-03-01T17:24:10.845894+00:00,Sokovia,Pym Particles,254.59,3.06,False
2026-03-01T17:24:10.845894+00:00,Sokovia,Vibranium (kg),226.77,2.26,False
2026-03-01T17:24:10.845894+00:00,Wakanda,Arc Reactor Cores,461.46,4.62,False
2026-03-01T17:24:10.845894+00:00,Wakanda,Clean Water (L),2671.07,6.41,False
2026-03-01T17:24:10.845894+00:00,Wakanda,Medical Kits,443.22,4.98,False
2026-03-01T17:24:10.845894+00:00,Wakanda,Pym Particles,270.01,3.23,False
2026-03-01T17:24:10.845894+00:00,Wakanda,Vibranium (kg),172.62,1.73,False
2026-03-01T17:29:10.845894+00:00,Avengers Compound,Arc Reactor Cores,555.07,16.77,False
2026-03-01T17:29:10.845894+00:00,Avengers Compound,Clean Water (L),2291.42,5.5,False
2026-03-01T17:29:10.845894+00:00,Avengers Compound,Medical Kits,378.56,17.2,False
2026-03-01T17:29:10.845894+00:00,Avengers Compound,Pym Particles,233.38,2.82,False
2026-03-01T17:29:10.845894+00:00,Avengers Compound,Vibranium (kg),174.23,1.75,False
2026-03-01T17:29:10.845894+00:00,New Asgard,Arc Reactor Cores,425.8,4.27,False
2026-03-01T17:29:10.845894+00:00,New Asgard,Clean Water (L),2452.41,5.89,False
2026-03-01T17:29:10.845894+00:00,New Asgard,Medical Kits,417.64,4.7,False
2026-03-01T17:29:10.845894+00:00,New Asgard,Pym Particles,217.07,2.6,False
2026-03-01T17:29:10.845894+00:00,New Asgard,Vibranium (kg),176.17,1.76,False
2026-03-01T17:29:10.845894+00:00,Sanctum Sanctorum,Arc Reactor Cores,439.93,4.41,False
2026-03-01T17:29:10.845894+00:00,Sanctum Sanctorum,Clean Water (L),2787.48,6.69,False
2026-03-01T17:29:10.845894+00:00,Sanctum Sanctorum,Medical Kits,372.85,4.2,False
