timestamp,sector_id,resource_type,stock_level,usage_rate_hourly,snap_event_detected
2026-03-01T18:03:19.836081+00:00,Avengers Compound,Arc Reactor Cores,503.52,5.05,False
2026-03-01T18:03:19.836081+00:00,Avengers Compound,Clean Water (L),2449.2,5.88,False
2026-03-01T18:03:19.836081+00:00,Avengers Compound,Medical Kits,420.69,4.73,False
2026-03-01T18:03:19.836081+00:00,Avengers Compound,Pym Particles,225.94,2.72,False
2026-03-01T18:03:19.836081+00:00,Avengers Compound,Vibranium (kg),224.65,2.26,False
2026-03-01T18:03:19.836081+00:00,New Asgard,Arc Reactor Cores,472.17,4.72,False
2026-03-01T18:03:19.836081+00:00,New Asgard,Clean Water (L),2165.09,5.2,False
2026-03-01T18:03:19.836081+00:00,New Asgard,Medical Kits,429.5,4.84,False
2026-03-01T18:03:19.836081+00:00,New Asgard,Pym Particles,266.53,3.19,False
2026-03-01T18:03:19.836081+00:00,New Asgard,Vibranium (kg),201.41,2.01,False
2026-03-01T18:03:19.836081+00:00,Sanctum Sanctorum,Arc Reactor Cores,569.79,5.71,False
2026-03-01T18:03:19.836081+00:00,Sanctum Sanctorum,Clean Water (L),2658.9,6.38,False
2026-03-01T18:03:19.836081+00:00,Sanctum Sanctorum,Medical Kits,430.99,4.85,False
2026-03-01T18:03:19.836081+00:00,Sanctum Sanctorum,Pym Particles,275.64,3.31,False
2026-03-01T18:03:19.836081+00:00,Sanctum Sanctorum,Vibranium (kg),183.63,1.84,False
2026-03-01T18:03:19.836081+00:00,Sokovia,Arc Reactor Cores,513.7,5.14,False
2026-03-01T18:03:19.836081+00:00,Sokovia,Clean Water (L),1421.43,5.69,False
2026-03-01T18:03:19.836081+00:00,Sokovia,Medical Kits,401.11,27.24,False
2026-03-01T18:03:19.836081+00:00,Sokovia,Pym Particles,264.77,3.18,False
2026-03-01T18:03:19.836081+00:00,Sokovia,Vibranium (kg),124.03,20.5,False
2026-03-01T18:03:19.836081+00:00,Wakanda,Arc Reactor Cores,475.88,4.77,False
2026-03-01T18:03:19.836081+00:00,Wakanda,Clean Water (L),2595.74,6.23,False
2026-03-01T18:03:19.836081+00:00,Wakanda,Medical Kits,407.73,4.58,False
2026-03-01T18:03:19.836081+00:00,Wakanda,Pym Particles,244.02,2.94,False
2026-03-01T18:03:19.836081+00:00,Wakanda,Vibranium (kg),217.66,2.17,False
2026-03-01T18:08:19.836081+00:00,Avengers Compound,Arc Reactor Cores,502.37,5.05,False
2026-03-01T18:08:19.836081+00:00,Avengers Compound,Clean Water (L),2449.08,5.88,False
2026-03-01T18:08:19.836081+00:00,Avengers Compound,Medical Kits,419.59,4.73,False
2026-03-01T18:08:19.836081+00:00,Avengers Compound,Pym Particles,225.56,2.72,False
2026-03-01T18:08:19.836081+00:00,Avengers Compound,Vibranium (kg),225.43,2.26,False
2026-03-01T18:08:19.836081+00:00,New Asgard,Arc Reactor Cores,471.49,4.72,False
2026-03-01T18:08:19.836081+00:00,New Asgard,Clean Water (L),2164.78,5.2,False
2026-03-01T18:08:19.836081+00:00,New Asgard,Medical Kits,428.43,4.84,False
2026-03-01T18:08:19.836081+00:00,New Asgard,Pym Particles,265.55,3.19,False
2026-03-01T18:08:19.836081+00:00,New Asgard,Vibranium (kg),201.21,2.01,False
2026-03-01T18:08:19.836081+00:00,Sanctum Sanctorum,Arc Reactor Cores,569.6,5.71,False
2026-03-01T18:08:19.836081+00:00,Sanctum Sanctorum,Clean Water (L),2659.29,6.38,False
2026-03-01T18:08:19.836081+00:00,Sanctum Sanctorum,Medical Kits,431.3,4.85,False
2026-03-01T18:08:19.836081+00:00,Sanctum Sanctorum,Pym Particles,275.56,3.31,False
2026-03-01T18:08:19.836081+00:00,Sanctum Sanctorum,Vibranium (kg),183.18,1.84,False
2026-03-01T18:08:19.836081+00:00,Sokovia,Arc Reactor Cores,511.56,20.56,False
2026-03-01T18:08:19.836081+00:00,Sokovia,Clean Water (L),1421.56,5.69,False
2026-03-01T18:08:19.836081+00:00,Sokovia,Medical Kits,398.27,27.24,False
2026-03-01T18:08:19.836081+00:00,Sokovia,Pym Particles,263.8,3.18,False
2026-03-01T18:08:19.836081+00:00,Sokovia,Vibranium (kg),121.6,20.5,False
2026-03-01T18:08:19.836081+00:00,Wakanda,Arc Reactor Cores,475.82,4.77,False
2026-03-01T18:08:19.836081+00:00,Wakanda,Clean Water (L),2595.66,6.23,False
2026-03-01T18:08:19.836081+00:00,Wakanda,Medical Kits,407.18,4.58,False
2026-03-01T18:08:19.836081+00:00,Wakanda,Pym Particles,244.14,2.94,False
2026-03-01T18:08:19.836081+00:00,Wakanda,Vibranium (kg),217.8,2.17,False
2026-03-01T18:13:19.836081+00:00,Avengers Compound,Arc Reactor Cores,501.12,5.05,False
2026-03-01T18:13:19.836081+00:00,Avengers Compound,Clean Water (L),2447.75,5.88,False
2026-03-01T18:13:19.836081+00:00,Avengers Compound,Medical Kits,418.54,4.73,False
2026-03-01T18:13:19.836081+00:00,Avengers Compound,Pym Particles,224.98,2.72,False
2026-03-01T18:13:19.836081+00:00,Avengers Compound,Vibranium (kg),225.62,2.26,False
2026-03-01T18:13:19.836081+00:00,New Asgard,Arc Reactor Cores,471.58,4.72,False
2026-03-01T18:13:19.836081+00:00,New Asgard,Clean Water (L),2164.64,5.2,False
2026-03-01T18:13:19.836081+00:00,New Asgard,Medical Kits,427.31,4.84,False
2026-03-01T18:13:19.836081+00:00,New Asgard,Pym Particles,265.74,3.19,False
2026-03-01T18:13:19.836081+00:00,New Asgard,Vibranium (kg),200.89,2.01,False
2026-03-01T18:13:19.836081+00:00,Sanctum Sanctorum,Arc Reactor Cores,569.81,5.71,False
2026-03-01T18:13:19.836081+00:00,Sanctum Sanctorum,Clean Water (L),2659.57,6.38,False
2026-03-01T18:13:19.836081+00:00,Sanctum Sanctorum,Medical Kits,430.19,4.85,False
2026-03-01T18:13:19.836081+00:00,Sanctum Sanctorum,Pym Particles,275.0,3.31,False
2026-03-01T18:13:19.836081+00:00,Sanctum Sanctorum,Vibranium (kg),182.3,1.84,False
2026-03-01T18:13:19.836081+00:00,Sokovia,Arc Reactor Cores,509.6,20.56,False
2026-03-01T18:13:19.836081+00:00,Sokovia,Clean Water (L),1420.13,5.69,False
2026-03-01T18:13:19.836081+00:00,Sokovia,Medical Kits,396.22,27.24,False
2026-03-01T18:13:19.836081+00:00,Sokovia,Pym Particles,264.03,3.18,False
2026-03-01T18:13:19.836081+00:00,Sokovia,Vibranium (kg),119.97,20.5,False
2026-03-01T18:13:19.836081+00:00,Wakanda,Arc Reactor Cores,475.48,4.77,False
2026-03-01T18:13:19.836081+00:00,Wakanda,Clean Water (L),2596.07,6.23,False
2026-03-01T18:13:19.836081+00:00,Wakanda,Medical Kits,406.93,4.58,False
2026-03-01T18:13:19.836081+00:00,Wakanda,Pym Particles,243.78,2.94,False
2026-03-01T18:13:19.836081+00:00,Wakanda,Vibranium (kg),187.7,2.17,False
2026-03-01T18:18:19.836081+00:00,Avengers Compound,Arc Reactor Cores,500.9,5.05,False
2026-03-01T18:18:19.836081+00:00,Avengers Compound,Clean Water (L),2446.63,5.88,False
2026-03-01T18:18:19.836081+00:00,Avengers Compound,Medical Kits,418.28,4.73,False
2026-03-01T18:18:19.836081+00:00,Avengers Compound,Pym Particles,225.72,2.72,False
2026-03-01T18:18:19.836081+00:00,Avengers Compound,Vibranium (kg),224.47,2.26,False
2026-03-01T18:18:19.836081+00:00,New Asgard,Arc Reactor Cores,471.14,4.72,False
2026-03-01T18:18:19.836081+00:00,New Asgard,Clean Water (L),2163.37,5.2,False
2026-03-01T18:18:19.836081+00:00,New Asgard,Medical Kits,427.42,4.84,False
2026-03-01T18:18:19.836081+00:00,New Asgard,Pym Particles,265.16,3.19,False
2026-03-01T18:18:19.836081+00:00,New Asgard,Vibranium (kg),201.24,2.01,False
2026-03-01T18:18:19.836081+00:00,Sanctum Sanctorum,Arc Reactor Cores,570.19,5.71,False
2026-03-01T18:18:19.836081+00:00,Sanctum Sanctorum,Clean Water (L),2658.17,6.38,False
2026-03-01T18:18:19.836081+00:00,Sanctum Sanctorum,Medical Kits,430.03,4.85,False
2026-03-01T18:18:19.836081+00:00,Sanctum Sanctorum,Pym Particles,274.89,3.31,False
2026-03-01T18:18:19.836081+00:00,Sanctum Sanctorum,Vibranium (kg),182.09,1.84,False
2026-03-01T18:18:19.836081+00:00,Sokovia,Arc Reactor Cores,508.38,20.56,False
2026-03-01T18:18:19.836081+00:00,Sokovia,Clean Water (L),1420.46,5.69,False
2026-03-01T18:18:19.836081+00:00,Sokovia,Medical Kits,393.73,27.24,False
2026-03-01T18:18:19.836081+00:00,Sokovia,Pym Particles,263.23,3.18,False
2026-03-01T18:18:19.836081+00:00,Sokovia,Vibranium (kg),0.0,20.5,False
2026-03-01T18:18:19.836081+00:00,Wakanda,Arc Reactor Cores,474.47,4.77,False
2026-03-01T18:18:19.836081+00:00,Wakanda,Clean Water (L),2594.91,6.23,False
2026-03-01T18:18:19.836081+00:00,Wakanda,Medical Kits,407.4,4.58,False
2026-03-01T18:18:19.836081+00:00,Wakanda,Pym Particles,242.84,2.94,False
